"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"19447","CAPTRU","EQ","CAPITAL TRUST LTD",0.01,1,"","",0,10,"INE707C01018",156.2,87.05,569.85,44.4,"","","",0,0,0,166.24,110.83,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CAPTRUST"
"19456","SGBT65","GB","2.50% SOV. GOLD BOND 20 SEP 31",0.01,1,"","",0,5923,"IN0020230093",0,0,8135,5813,"","","",0,0,0,8784.73,7187.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SGBSEP31II"
"19458","PLAWIR","EQ","PLAZA WIRES LIMITED",0.01,1,"","",0,1,"INE0INJ01017",173.5,74.9,173.5,74.9,"","","",0,0,0,114.22,76.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PLAZACABLE"
"1946","ADCIND","EQ","ADC INDIA COMMUNICATIONS LIMIT",0.01,1,"","",0,10,"INE833A01016",0,0,785,25.6,"","","",0,0,0,56.4,37.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KRONECOMM"
"19465","KARI","SM","KARNIKA INDUSTRIES LIMITED",0.01,1,"","",0,10,"INE0MGA01012",0,0,340,75,"","","",0,0,0,316.8,259.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KARNIKA"
"19469","SHACHU","SM","SHARP CHUCKS AND MACHINES",0.01,1,"","",0,10,"INE460Q01014",0,0,136.4,55,"","","",0,0,0,156.8,104.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SCML"
"1949","KSBPUM","EQ","KSB LIMITED",0.01,1,"","",0,2,"INE999A01023",1060,448.53,1060,3.72,"","","",0,0,0,1165.5,777,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KSB"
"19492","PLAINF","SM","PLADA INFOTECH SERVICES LTD",0.01,1,"","",0,10,"INE0PXD01014",0,0,60,24.5,"","","",0,0,0,35.75,23.85,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PLADAINFO"
"19496","SECCON","EQ","SECMARK CONSULTANCY LIMITED",0.01,1,"","",0,10,"INE0BTM01013",145.35,71.35,145.35,71.35,"","","",0,0,0,102.92,93.11,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SECMARK"
"19503","TANCON","BE","TANTIA CONSTRUCTIONS LIMITED",0.01,1,"","",0,1,"INE388G01026",61,18.25,158.8,1,"","","",0,0,0,49,44.33,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TCLCONS"
"19513","COMCAR","SM","COMMITTED CARGO CARE LIMITED",0.01,1,"","",0,10,"INE597Z01014",0,0,87,49.15,"","","",0,0,0,66,44,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","COMMITTED"
"19525","INDINV","EQ","INDUSTRIAL INVESTMENT TRUST LT",0.01,1,"","",0,10,"INE886A01014",280,98.05,288.75,46.8,"","","",0,0,0,210.02,190.01,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IITL"
